majorOccCode,title,unemploymentRate2020,unemploymentRate2019,annualSalaryMedianUsd,uninsuranceRate
11,Management occupations,6.3,1.1,105660.0,6.7
13,Business and financial operations occupations,6.0,2.0,69820.0,4.0
15,Computer and mathematical occupations,4.3,2.4,88340.0,3.2
17,Architecture and engineering occupations,5.6,1.9,81440.0,3.2
19,"Life, physical, and social science occupations",5.4,0.6,68160.0,3.2
21,Community and social service occupations,4.6,2.0,46090.0,5.3
23,Legal occupations,3.7,1.1,81820.0,4.3
27,"Arts, design, entertainment, sports, and media occupations",18.6,3.9,51150.0,8.8
29,Healthcare practitioners and technical occupations,6.8,1.2,68190.0,4.4
31,Healthcare support occupations,12.6,2.8,28470.0,12.8
33,Protective service occupations,9.4,2.5,41580.0,6.1
35,Food preparation and serving related occupations,41.8,4.9,24220.0,22.2
37,Building and grounds cleaning and maintenance occupations,21.9,4.6,28330.0,24.8
39,Personal care and service occupations,39.3,3.7,26220.0,14.4
41,Sales and related occupations,17.1,3.9,29630.0,12.4
43,Office and administrative support occupations,12.7,3.4,37580.0,8.4
45,"Farming, fishing, and forestry occupations",12.4,10.5,27180.0,30.5
47,Construction and extraction occupations,18.9,5.2,47430.0,28.7
49,"Installation, maintenance, and repair occupations",12.8,2.7,46630.0,13.4
51,Production occupations,18.6,3.8,36000.0,14.1
53,Transportation and material moving occupations,17.9,4.0,32440.0,16.6
